"E","tau","tp","nn","lib_column","target_column","lib_size","num_pred","rho","mae","rmse"
6,1,0,7,1,2,7,120,0.0692018485133431,0.845295105285872,1.09874557091318
6,1,0,7,1,2,7,120,0.33691681166109,0.938622276115305,1.13109196930311
6,1,0,7,1,2,7,120,-0.0267054627433483,0.800946612280507,1.09566732362835
6,1,0,7,1,2,10,120,0.284292815583382,0.759810739223835,1.04890313719538
6,1,0,7,1,2,10,120,0.0135090138332144,0.855751511650212,1.10704953765352
6,1,0,7,1,2,10,120,0.300442556432781,0.759363166518437,1.00992517559181
6,1,0,7,1,2,13,120,0.0804026917829914,0.779924517345603,1.06498886081841
6,1,0,7,1,2,13,120,0.0499094192396062,0.789841083465074,1.07062315184172
6,1,0,7,1,2,13,120,0.322104540795713,0.783471816978904,1.01546655658441
6,1,0,7,1,2,16,120,-0.0512913795863055,0.871653752085444,1.13855599684718
6,1,0,7,1,2,16,120,0.142367472171453,0.762598972227527,1.05092097153823
6,1,0,7,1,2,16,120,0.28467708220098,0.77123898377088,1.04447985477624
6,1,0,7,1,2,19,120,0.07709077944978,0.806512304741836,1.07809942692389
6,1,0,7,1,2,19,120,0.221419024919069,0.860125254119572,1.08112513590948
6,1,0,7,1,2,19,120,0.288892957923174,0.960060081026925,1.16184128184698
6,1,0,7,1,2,22,120,0.328270044616494,0.760860296264276,1.03119162245594
6,1,0,7,1,2,22,120,0.268995438906502,0.83316973792951,1.09427512422852
6,1,0,7,1,2,22,120,0.231373253503543,0.811238243028924,1.06489471874132
6,1,0,7,1,2,25,120,0.302076089151076,0.767988564069885,1.01190667795265
6,1,0,7,1,2,25,120,0.270005892351723,0.767527071400178,1.02652596637775
6,1,0,7,1,2,25,120,0.224347333034941,0.890043544482784,1.10946602968133
6,1,0,7,1,2,28,120,0.235092975700641,0.776472081082074,1.04573874082994
6,1,0,7,1,2,28,120,0.136136734825323,0.792947224660742,1.06159538364782
6,1,0,7,1,2,28,120,0.263013372753608,0.767801160337001,1.03720483038455
6,1,0,7,1,2,31,120,0.27541751935153,0.806065556811059,1.0513506066191
6,1,0,7,1,2,31,120,0.230506599827638,0.786114783739935,1.04900023328929
6,1,0,7,1,2,31,120,0.313852795837721,0.779867310191617,1.00888308801461
6,1,0,7,1,2,34,120,0.30679262413252,0.752389275749523,1.0283343741355
6,1,0,7,1,2,34,120,0.274997982936139,0.769699656023589,1.04586221788362
6,1,0,7,1,2,34,120,0.264517124461379,0.800313306914355,1.07809789165966
6,1,0,7,1,2,37,120,0.302804826613803,0.781326607825661,1.03937278239162
6,1,0,7,1,2,37,120,0.284303900467229,0.775224238935126,1.04534186150905
6,1,0,7,1,2,37,120,0.27817609124592,0.784630425888851,1.03977649750589
6,1,0,7,1,2,40,120,0.176414004547312,0.81148906869684,1.06767081757348
6,1,0,7,1,2,40,120,0.302372171599018,0.747340068328416,1.01494304349688
6,1,0,7,1,2,40,120,0.281358447661574,0.761200949415969,1.0461564972554
6,1,0,7,1,2,43,120,0.331307376201773,0.78368087033722,1.00992015265497
6,1,0,7,1,2,43,120,0.291146006765186,0.798293316364493,1.06301209451796
6,1,0,7,1,2,43,120,0.335600411778507,0.746666761746095,0.99870543875035
6,1,0,7,1,2,46,120,0.275851323088613,0.793977961083373,1.07286823121956
6,1,0,7,1,2,46,120,0.285928121047838,0.775520310471262,1.06483344235978
6,1,0,7,1,2,46,120,0.343189900500111,0.719782677806439,1.00376427871218
6,1,0,7,1,2,49,120,0.200347364257157,0.778044207920418,1.04836848533789
6,1,0,7,1,2,49,120,0.299849065964554,0.759984489789595,1.02614489126502
6,1,0,7,1,2,49,120,0.290791170391379,0.760252631026806,1.04451632496194
6,1,0,7,1,2,52,120,0.28146089317776,0.761477906672993,1.0264469873038
6,1,0,7,1,2,52,120,0.306581346933822,0.737428495485007,1.02067044389407
6,1,0,7,1,2,52,120,0.267909405314795,0.820707342531294,1.06321845976257
6,1,0,7,1,2,55,120,0.256235434139328,0.842012665220887,1.06471415907959
6,1,0,7,1,2,55,120,0.314579727822954,0.763753984769676,1.03286507420099
6,1,0,7,1,2,55,120,0.325430951849876,0.819059469396406,1.04909725237188
6,1,0,7,1,2,58,120,0.269466450270125,0.779362459482097,1.04335224172219
6,1,0,7,1,2,58,120,0.307845527946172,0.824720622929652,1.0773741980846
6,1,0,7,1,2,58,120,0.336517165089897,0.734374963104139,1.02569998383422
6,1,0,7,1,2,61,120,0.178444053398834,0.808628986490611,1.07674152824319
6,1,0,7,1,2,61,120,0.312133644632245,0.770460743384309,1.03580113117578
6,1,0,7,1,2,61,120,0.297409168948716,0.747032229397966,1.04682777435289
6,1,0,7,1,2,64,120,0.34151826683954,0.743856732329165,1.02047569527453
6,1,0,7,1,2,64,120,0.293014210055304,0.765679709547881,1.04975535730045
6,1,0,7,1,2,64,120,0.314764875376143,0.769351623837506,1.04408887914329
6,1,0,7,1,2,67,120,0.330003301177856,0.748602034308886,1.01456987890187
6,1,0,7,1,2,67,120,0.310680787141292,0.775445844146593,1.03518906787841
6,1,0,7,1,2,67,120,0.269711528787606,0.76039903828992,1.06438342819681
6,1,0,7,1,2,70,120,0.291813449513816,0.757915825495511,1.03280952583923
6,1,0,7,1,2,70,120,0.27301113138099,0.795500524289996,1.06095567227435
6,1,0,7,1,2,70,120,0.337689549591157,0.743761749201767,1.02386096737971
6,1,0,7,1,2,73,120,0.352265555859718,0.729310042744461,0.99328092739365
6,1,0,7,1,2,73,120,0.332960397696436,0.747343023368992,1.01404689675632
6,1,0,7,1,2,73,120,0.288963268706796,0.803186118256565,1.07032765654483
6,1,0,7,1,2,76,120,0.309075174850462,0.763193808706794,1.04189855338058
6,1,0,7,1,2,76,120,0.342320680108361,0.749387858756749,1.01099333161225
6,1,0,7,1,2,76,120,0.307403897702671,0.74437604269333,1.01825129825919
6,1,0,7,1,2,79,120,0.259003617270308,0.757465681512371,1.0467346365074
6,1,0,7,1,2,79,120,0.271373162967931,0.766573360115242,1.05157789255352
6,1,0,7,1,2,79,120,0.279016612045206,0.782746513196762,1.05957603079622
6,1,0,7,1,2,82,120,0.333040792808005,0.75261983954885,1.025583111512
6,1,0,7,1,2,82,120,0.35173905263372,0.74631576303884,1.03052312716248
6,1,0,7,1,2,82,120,0.309026043521626,0.746889931077523,1.02730045843824
6,1,0,7,1,2,85,120,0.290211973154563,0.771629666492338,1.0325177681316
6,1,0,7,1,2,85,120,0.36835357987832,0.731667752301229,0.998053464400567
6,1,0,7,1,2,85,120,0.34309297341441,0.74771083399799,1.02142096530382
6,1,0,7,1,2,88,120,0.358771944041244,0.73091763504573,1.01523542576354
6,1,0,7,1,2,88,120,0.32474338660722,0.764140735149085,1.04428390976553
6,1,0,7,1,2,88,120,0.385052687582193,0.732668387213039,0.997522144232552
6,1,0,7,1,2,91,120,0.315192527495723,0.770514854713043,1.04321135316286
6,1,0,7,1,2,91,120,0.330804542780458,0.754624317742958,1.03192589476966
6,1,0,7,1,2,91,120,0.318200778430242,0.777225811481826,1.04704509780857
6,1,0,7,1,2,94,120,0.323737047523198,0.756301857782667,1.02968757889855
6,1,0,7,1,2,94,120,0.306425181611165,0.76420114416602,1.04327853827087
6,1,0,7,1,2,94,120,0.330883936199005,0.757682470528104,1.02528753489392
6,1,0,7,1,2,97,120,0.331042210250874,0.740492734222757,1.01858702390434
6,1,0,7,1,2,97,120,0.344751222684793,0.749914985891526,1.02149420496738
6,1,0,7,1,2,97,120,0.368207730759274,0.738448951292774,1.00495434123716
6,1,0,7,1,2,100,120,0.308545356799058,0.77804096672503,1.04365112459122
6,1,0,7,1,2,100,120,0.334011219907591,0.757732598427272,1.02238000298116
6,1,0,7,1,2,100,120,0.361263577181101,0.75446781665104,1.01941614367953
6,1,0,7,1,2,103,120,0.33806817079772,0.74679532125844,1.01806193480648
6,1,0,7,1,2,103,120,0.348648777740372,0.750597302883045,1.00942844763822
6,1,0,7,1,2,103,120,0.351873091963149,0.75077449394344,1.01435350229017
6,1,0,7,1,2,106,120,0.35462771466683,0.757973797438959,1.02179929703011
6,1,0,7,1,2,106,120,0.335134140189967,0.760517546507433,1.03034794825097
6,1,0,7,1,2,106,120,0.314127878113597,0.77663511632324,1.04134365697687
6,1,0,7,1,2,109,120,0.341063014166224,0.766951431712813,1.02539512609849
6,1,0,7,1,2,109,120,0.345816549723116,0.745543703950307,1.01798812771717
6,1,0,7,1,2,109,120,0.339041929365296,0.749749235012066,1.02582099099484
6,1,0,7,1,2,112,120,0.356347204364598,0.74844937876385,1.01498674472917
6,1,0,7,1,2,112,120,0.355030523538985,0.743465031417321,1.01496740473762
6,1,0,7,1,2,112,120,0.343420561162622,0.756871136166594,1.02450954924375
6,1,0,7,1,2,115,120,0.361074639028759,0.74502638229193,1.00979108547377
6,1,0,7,1,2,115,120,0.332935786523712,0.760044918225756,1.0289989531512
6,1,0,7,1,2,115,120,0.331857755772303,0.760930873500662,1.03329245133608
6,1,0,7,1,2,118,120,0.359663348149518,0.743411149079634,1.01235031725896
6,1,0,7,1,2,118,120,0.332519645802256,0.75390440942329,1.02845227980396
6,1,0,7,1,2,118,120,0.348780939880342,0.755532987276152,1.02062043377073
6,1,0,7,1,2,120,120,0.339980635054673,0.753952797381356,1.02454814874301
